Year,StateAbbr,State,Question,DataValueUnit,DataValueType,DataValue,LowConfidenceLimit,HighConfidenceLimit,StratificationCategory1,Stratification1,GeoLocation
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.6,3.0,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,3.5,3.9,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.3,4.0,Overall,Overall,POINT (-100.11842104899966 47.47531977900047)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,3.2,3.6,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.9,5.7,10.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.2,2.6,3.8,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.9,3.2,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.9,3.4,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,3.6,4.3,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.3,3.1,3.5,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,2.8,4.0,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.3,3.7,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,3.3,3.8,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,3.3,3.6,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.9,4.5,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.0,14.8,19.5,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,3.4,3.9,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,3.9,4.3,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,1.9,5.0,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.4,2.1,2.6,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.7,3.2,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,2.4,5.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,2.7,3.2,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,2.3,3.7,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.1,1.9,4.2,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.3,2.1,2.6,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,2.8,5.2,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.1,8.4,25.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.0,5.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.0,10.7,13.4,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.0,4.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.5,4.0,5.1,Gender,Female,POINT (-100.11842104899966 47.47531977900047)
2018,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,13.9,12.3,15.7,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.5,2.3,2.7,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.3,2.1,2.6,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,3.1,3.7,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.7,2.4,2.9,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,3.4,3.8,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.9,3.2,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.0,8.8,21.6,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,19.2,16.9,21.7,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.5,4.5,8.6,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,10.9,8.1,14.5,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.7,3.0,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.2,3.0,3.4,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.3,3.9,Overall,Overall,POINT (-100.11842104899966 47.47531977900047)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,2.2,5.1,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.8,4.3,7.2,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.2,3.5,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.4,3.8,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.3,3.8,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,2.7,5.0,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.8,9.7,16.9,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.7,3.7,7.7,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.4,3.6,7.2,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,3.2,3.7,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.0,2.8,3.2,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.8,2.7,5.0,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,6.2,4.2,8.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.5,4.2,4.8,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.0,3.7,4.2,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.1,4.8,5.4,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,7.6,4.7,12.0,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.1,3.6,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,2.9,4.8,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.6,4.1,5.2,Gender,Female,POINT (-100.11842104899966 47.47531977900047)
2019,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.7,7.1,21.7,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,1.8,6.7,Race/Ethnicity,Hispanic,POINT (-100.11842104899966 47.47531977900047)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.2,1.8,2.7,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.8,2.3,3.3,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.6,2.0,3.2,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.7,2.6,2.9,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,2.9,4.9,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.6,10.0,13.4,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.2,3.9,4.5,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,35.7,21.8,52.5,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.3,3.2,Gender,Male,POINT (-100.11842104899966 47.47531977900047)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.3,2.0,2.5,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,2.0,5.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.6,3.4,3.8,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.3,3.4,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.1,3.7,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.4,2.3,4.6,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.7,2.5,4.9,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.5,2.9,4.0,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.9,10.4,13.7,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,7.9,4.4,13.8,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.4,1.8,2.9,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.5,2.3,2.7,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.2,2.0,4.4,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,21.4,19.2,23.8,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.7,10.9,14.7,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.0,2.0,4.1,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.4,2.1,2.6,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,8.2,5.2,11.3,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-100.11842104899966 47.47531977900047)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.1,2.9,5.3,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.0,2.8,3.3,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.7,3.2,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,8.4,5.9,10.9,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,1.8,4.9,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,1.8,3.9,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.9,2.2,3.6,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.9,2.8,5.1,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.1,2.9,5.3,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.1,2.8,3.4,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,15.2,8.8,25.0,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.3,2.1,2.5,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.9,4.6,5.2,Gender,Female,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.6,2.4,2.8,Gender,Male,POINT (-99.36572062299967 41.6410409880005)
2020,ND,North Dakota,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,3.4,3.0,3.7,Race/Ethnicity,"White, non-Hispanic",POINT (-100.11842104899966 47.47531977900047)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.3,3.1,5.4,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.5,2.9,6.1,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.5,2.5,4.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,11.7,9.9,13.7,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,14.8,13.2,16.5,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.7,1.9,3.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,29.2,16.6,46.0,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.8,4.4,7.2,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,17.8,15.7,20.1,Overall,Overall,POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,6.1,3.9,8.4,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2013,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.5,1.8,3.3,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,20.4,12.1,32.4,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.7,2.2,3.3,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,7.6,4.6,10.5,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.3,2.7,4.0,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,2.0,4.0,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.0,2.7,5.4,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,37.4,25.6,50.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2020,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,4.4,3.2,5.5,Race/Ethnicity,"Black, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,12.4,10.9,14.1,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.9,3.7,4.1,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2012,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,2.8,2.0,3.5,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2016,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.6,2.2,5.0,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2017,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,4.8,2.9,6.8,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2019,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,7.0,4.3,9.7,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2018,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.9,2.3,3.6,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2021,NE,Nebraska,At least 14 recent mentally unhealthy days among women aged 18-44 years,%,Crude Prevalence,18.4,16.8,20.2,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,2.3,1.8,2.7,Race/Ethnicity,Hispanic,POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,5.5,3.6,7.4,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2014,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.7,2.6,4.8,Race/Ethnicity,"Other, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2011,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Age-adjusted Mean,3.0,2.9,3.2,Race/Ethnicity,"White, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
2015,NE,Nebraska,Recent mentally unhealthy days among adults aged >= 18 years,Number,Mean,5.4,3.4,7.4,Race/Ethnicity,"Multiracial, non-Hispanic",POINT (-99.36572062299967 41.6410409880005)
